mode,environment,width,height,spp,seconds,paths,real_collisions,escaped_paths,roulette_terminations,safety_cap_terminations,numerical_failures,mean_path_depth
classic,unit_white,256,256,16,3.8848779000000002,1048576,309005,1048576,0,0,0,0.29469013214111328
classic,directional_gradient,256,256,16,3.8777631000000001,1048576,309005,1048576,0,0,0,0.29469013214111328
