grid_intervals,age,survival,standard_error,first_hit_mass,average_hazard
64,0.0234375,1,0,0,-0
64,0.046875,0.982177734375,0.0020672667733873992,0.017822265625,0.76727444350103458
64,0.0703125,0.9267578125,0.0040708378820660703,0.055419921875,2.4780805213853774
64,0.09375,0.86328125,0.0053679717266955597,0.0634765625,3.0272740681508048
64,0.1171875,0.821044921875,0.0059892921651249686,0.042236328125,2.1402757127366185
64,0.140625,0.791015625,0.0063528626437978145,0.030029296875,1.5897643926995011
64,0.1640625,0.766357421875,0.0066116781561162121,0.024658203125,1.3512128829619867
64,0.1875,0.744140625,0.0068178619098389747,0.022216796875,1.2551953081777789
64,0.2109375,0.72509765625,0.006976016481130832,0.01904296875,1.1060772270844392
64,0.234375,0.713134765625,0.0070671578197263997,0.011962890625,0.70979965478418328
64,0.2578125,0.701904296875,0.0071472148015697895,0.01123046875,0.67726289733504519
64,0.28125,0.689453125,0.0072299614207437489,0.012451171875,0.7636631303815723
64,0.3046875,0.678955078125,0.007294968969698638,0.010498046875,0.65466642684449405
64,0.328125,0.669677734375,0.0073488922564436945,0.00927734375,0.58702350064476094
64,0.3515625,0.658935546875,0.0074072964045124381,0.0107421875,0.68995745790287166
64,0.375,0.64794921875,0.0074626516138163301,0.010986328125,0.71737165336967934
64,0.3984375,0.638916015625,0.0075049192949523929,0.009033203125,0.59901066077896181
64,0.421875,0.628662109375,0.0075494150359839739,0.01025390625,0.69030781577853351
64,0.4453125,0.621826171875,0.0075770518545290044,0.0068359375,0.46648909305086134
64,0.46875,0.6162109375,0.0075985552248580487,0.005615234375,0.38704005624973908
64,0.4921875,0.609619140625,0.0076224323931436749,0.006591796875,0.45887715760343833
64,0.515625,0.603515625,0.0076432369541906209,0.006103515625,0.42933212596018239
64,0.5390625,0.597412109375,0.0076627982352224806,0.006103515625,0.43369621908948069
64,0.5625,0.59130859375,0.0076811257349113198,0.006103515625,0.43814994473105617
64,0.5859375,0.58544921875,0.0076975675790813981,0.005859375,0.42489977709132609
64,0.609375,0.5810546875,0.0077091624672118884,0.00439453125,0.32147494066940457
64,0.6328125,0.57470703125,0.0077248024645085031,0.00634765625,0.46867109739939466
64,0.65625,0.5673828125,0.0077412304936336782,0.00732421875,0.54724991353259489
64,0.6796875,0.5615234375,0.0077531317172699829,0.005859375,0.44291055166125831
64,0.703125,0.556884765625,0.0077617747535062617,0.004638671875,0.35392766433506434
64,0.7265625,0.5537109375,0.0077672931934456447,0.003173828125,0.24386378396780237
64,0.75,0.54931640625,0.0077744054371393393,0.00439453125,0.3399752383648787
64,0.7734375,0.545166015625,0.00778056019521147,0.004150390625,0.32359438328780465
64,0.796875,0.541748046875,0.0077852195663839392,0.00341796875,0.26834470005606359
64,0.8203125,0.5400390625,0.0077874108622839368,0.001708984375,0.13480790572238854
64,0.84375,0.537109375,0.007790953009777675,0.0029296875,0.23209486062157694
64,0.8671875,0.53466796875,0.0077936981870826384,0.00244140625,0.19438150553005615
64,0.890625,0.533203125,0.0077952552251953963,0.00146484375,0.11705540035203553
64,0.9140625,0.531005859375,0.0077974642294326478,0.002197265625,0.17618744925914362
64,0.9375,0.52978515625,0.0077986258753540028,0.001220703125,0.098197204833249049
64,0.9609375,0.5283203125,0.0077999580562133214,0.00146484375,0.11813574690701438
64,0.984375,0.526611328125,0.0078014271095211661,0.001708984375,0.13823972596120515
64,1.0078125,0.525146484375,0.0078026133430628393,0.00146484375,0.11884873051418932
64,1.03125,0.52392578125,0.0078035504519511347,0.001220703125,0.099294125955680268
64,1.0546875,0.5234375,0.0078039122111448287,0.00048828125,0.039782442664581717
64,1.078125,0.52294921875,0.0078042664951321434,0.00048828125,0.039819570474604618
64,1.1015625,0.522216796875,0.0078047839073220916,0.000732421875,0.059799122145640295
64,1.125,0.52099609375,0.0078056088990527189,0.001220703125,0.099851828083498614
64,1.1484375,0.5205078125,0.0078059258218451345,0.00048828125,0.040006253907776144
64,1.171875,0.519287109375,0.0078066854520378723,0.001220703125,0.1001800569812471
64,1.1953125,0.5185546875,0.0078071188275599442,0.000732421875,0.060221134438730069
64,1.21875,0.51806640625,0.0078073984119045358,0.00048828125,0.040194696017110086
64,1.2421875,0.517578125,0.0078076705310518926,0.00048828125,0.040232597669134812
64,1.265625,0.51708984375,0.007807935185782538,0.00048828125,0.040270570867474098
64,1.2890625,0.516845703125,0.0078080647142296242,0.000244140625,0.020149547796761674
64,1.3125,0.516357421875,0.0078083181737516215,0.00048828125,0.040327665258101851
64,1.3359375,0.51611328125,0.0078084421050082222,0.000244140625,0.0201781354750038
64,1.359375,0.515625,0.0078086843709567755,0.00048828125,0.040384921771981844
64,1.3828125,0.51513671875,0.0078089191753956677,0.00048828125,0.040423183191037403
64,1.40625,0.5146484375,0.0078091465189979552,0.00048828125,0.040461517177994434
64,1.4296875,0.5146484375,0.0078091465189979552,0,-0
64,1.453125,0.514404296875,0.0078092573931898323,0.000244140625,0.020245156568060755
64,1.4765625,0.514404296875,0.0078092573931898323,0,-0
64,1.5,0.51416015625,0.0078093664024152286,0.000244140625,0.020254767371444299
128,0.01171875,1,0,0,-0
128,0.0234375,1,0,0,-0
128,0.03515625,0.99658203125,0.0009119280955594629,0.00341796875,0.29216625916190803
128,0.046875,0.983642578125,0.0019819656032562809,0.012939453125,1.1152092312271205
128,0.05859375,0.961181640625,0.0030181536658027814,0.0224609375,1.9711312424627021
128,0.0703125,0.928466796875,0.0040267721004235372,0.03271484375,2.9549894839874411
128,0.08203125,0.901611328125,0.004653741488754891,0.02685546875,2.5046266091260931
128,0.09375,0.876708984375,0.0051370461775672224,0.02490234375,2.3900518934596602
128,0.10546875,0.851806640625,0.005551430515163238,0.02490234375,2.4589271926876775
128,0.1171875,0.8291015625,0.0058815655127587999,0.022705078125,2.3054416004724247
128,0.12890625,0.810546875,0.0061229396731591343,0.0185546875,1.9313907644333872
128,0.140625,0.796875,0.0062863247996014322,0.013671875,1.4516348438644533
128,0.15234375,0.782470703125,0.0064463361284889525,0.014404296875,1.5565949208940548
128,0.1640625,0.771240234375,0.0065630344882079512,0.01123046875,1.2336271831624697
128,0.17578125,0.763671875,0.006637906471744906,0.007568359375,0.84153165968072463
128,0.1875,0.7548828125,0.0067211978079546762,0.0087890625,0.98779238040654083
128,0.19921875,0.748046875,0.0067833512693967826,0.0068359375,0.77626699492955076
128,0.2109375,0.741943359375,0.0068369581533464317,0.006103515625,0.6991136378614482
128,0.22265625,0.735107421875,0.0068949373584235455,0.0068359375,0.7898678984583839
128,0.234375,0.7294921875,0.0069409713984582193,0.005615234375,0.65433448354354518
128,0.24609375,0.721923828125,0.0070007988960682057,0.007568359375,0.88994358615302194
128,0.2578125,0.715087890625,0.007052696447064453,0.0068359375,0.81187609811146455
128,0.26953125,0.707763671875,0.0071060991190456599,0.00732421875,0.87852526131865838
128,0.28125,0.703857421875,0.0071336664594654218,0.00390625,0.47227146950428689
128,0.29296875,0.700927734375,0.0071539305322518686,0.0029296875,0.3559268281461922
128,0.3046875,0.697021484375,0.0071804063958414857,0.00390625,0.47689028530802169
128,0.31640625,0.692626953125,0.0072094579151363277,0.00439453125,0.53970664800079182
128,0.328125,0.686767578125,0.0072470001835572631,0.005859375,0.72496011255419923
128,0.33984375,0.68212890625,0.0072757668045897537,0.004638671875,0.57832692675837694
128,0.3515625,0.676513671875,0.0073094765992231638,0.005615234375,0.70536490273524632
128,0.36328125,0.669921875,0.0073475149324608684,0.006591796875,0.8355461134679496
128,0.375,0.66650390625,0.0073665942762799891,0.00341796875,0.43648859023107217
128,0.38671875,0.66259765625,0.0073878661966068739,0.00390625,0.50159341091762732
128,0.3984375,0.658447265625,0.0074098498637891882,0.004150390625,0.53619347243387894
128,0.41015625,0.654541015625,0.0074299639224602509,0.00390625,0.50774911178842741
128,0.421875,0.64990234375,0.0074531297061413478,0.004638671875,0.60690255197033716
128,0.43359375,0.6455078125,0.0074743617205912938,0.00439453125,0.57896942792362871
128,0.4453125,0.64111328125,0.0074949045492818849,0.00439453125,0.58292446795395103
128,0.45703125,0.6376953125,0.0075104094577804091,0.00341796875,0.45615483446782323
128,0.46875,0.632080078125,0.007534990852618626,0.005615234375,0.75473157502156829
128,0.48046875,0.6279296875,0.0075524532156284125,0.004150390625,0.5621669882903596
128,0.4921875,0.62548828125,0.0075624465918329893,0.00244140625,0.33242478087086613
128,0.50390625,0.62158203125,0.0075780091756149325,0.00390625,0.5345880182892998
128,0.515625,0.61767578125,0.0075930492620873268,0.00390625,0.53795817777372956
128,0.52734375,0.612548828125,0.0076120016207139795,0.005126953125,0.71125635030558565
