mode,bin_left,bin_right,observed_mass,expected_mass,escape_bin
classic,0,0.0234375,0.025149999999999999,0.022655703272306593,0
classic,0.0234375,0.046875,0.022800000000000001,0.02142985402960218,0
classic,0.046875,0.0703125,0.021399999999999999,0.02027268567325835,0
classic,0.0703125,0.09375,0.018149999999999999,0.01917972346714758,0
classic,0.09375,0.1171875,0.0167,0.018146827709369373,0
classic,0.1171875,0.140625,0.018100000000000002,0.017170167051495988,0
classic,0.140625,0.1640625,0.01755,0.016246194091011801,0
classic,0.1640625,0.1875,0.015100000000000001,0.015371623026045667,0
classic,0.1875,0.2109375,0.0147,0.014543409181796307,0
classic,0.2109375,0.234375,0.01485,0.013758730236354544,0
classic,0.234375,0.2578125,0.013650000000000001,0.013014968990089693,0
classic,0.2578125,0.28125,0.0117,0.012309697537638997,0
classic,0.28125,0.3046875,0.0117,0.011640662714958561,0
classic,0.3046875,0.328125,0.010999999999999999,0.011005772706028538,0
classic,0.328125,0.3515625,0.0103,0.010403084704793231,0
classic,0.3515625,0.375,0.00975,0.0098307935378800781,0
classic,0.375,0.3984375,0.0088999999999999999,0.0092872211626749968,0
classic,0.3984375,0.421875,0.0084499999999999992,0.0087708069635588082,0
classic,0.421875,0.4453125,0.0095999999999999992,0.008280098776582423,0
classic,0.4453125,0.46875,0.0076,0.0078137445796758742,0
classic,0.46875,0.4921875,0.0077999999999999996,0.0073704847917012151,0
classic,0.4921875,0.515625,0.0078499999999999993,0.0069491451293335338,0
classic,0.515625,0.5390625,0.0067499999999999999,0.0065486299759318634,0
classic,0.5390625,0.5625,0.0065500000000000003,0.006167916221290648,0
classic,0.5625,0.5859375,0.0052500000000000003,0.0058060475354768659,0
classic,0.5859375,0.609375,0.00445,0.0054621290438880976,0
classic,0.609375,0.6328125,0.0047499999999999999,0.0051353223742385268,0
classic,0.6328125,0.65625,0.0047999999999999996,0.0048248410494176053,0
classic,0.65625,0.6796875,0.00365,0.0045299462030898852,0
classic,0.6796875,0.703125,0.0041000000000000003,0.0042499425975218719,0
classic,0.703125,0.7265625,0.0038500000000000001,0.003984174925457773,0
classic,0.7265625,0.75,0.0034499999999999999,0.003732024379928478,0
classic,0.75,0.7734375,0.0032499999999999999,0.0034929054776678958,0
classic,0.7734375,0.796875,0.0028500000000000001,0.0032662631233635331,0
classic,0.796875,0.8203125,0.0033999999999999998,0.003051569903264606,0
classic,0.8203125,0.84375,0.0025500000000000002,0.0028483235977463384,0
classic,0.84375,0.8671875,0.0029499999999999999,0.0026560449032840827,0
classic,0.8671875,0.890625,0.0022499999999999998,0.0024742753549436003,0
classic,0.890625,0.9140625,0.0018,0.0023025754409521371,0
classic,0.9140625,0.9375,0.0019,0.0021405229012158022,0
classic,0.9375,0.9609375,0.0020999999999999999,0.0019877112017753218,0
classic,0.9609375,0.984375,0.0016999999999999999,0.0018437481772132225,0
classic,0.984375,1.0078125,0.00125,0.0017082548329067082,0
classic,1.0078125,1.03125,0.00125,0.0015808642988426325,0
classic,1.03125,1.0546875,0.00125,0.0014612209264456277,0
classic,1.0546875,1.078125,0.0011000000000000001,0.0013489795195786858,0
classic,1.078125,1.1015625,0.0012999999999999999,0.0012438046905652866,0
classic,1.1015625,1.125,0.00115,0.0011453703317714226,0
classic,1.125,1.1484375,0.00095,0.0010533591930143027,0
classic,1.1484375,1.171875,0.00075000000000000002,0.00096746255483026733,0
classic,1.171875,1.1953125,0.00080000000000000004,0.00088737998747367985,0
classic,1.1953125,1.21875,0.0011000000000000001,0.00081281918542863707,0
classic,1.21875,1.2421875,0.00089999999999999998,0.00074349586722732841,0
classic,1.2421875,1.265625,0.00084999999999999995,0.00067913373046679659,0
classic,1.265625,1.2890625,0.00055000000000000003,0.0006194644521284598,0
classic,1.2890625,1.3125,0.00080000000000000004,0.00056422772461028892,0
classic,1.3125,1.3359375,0.00080000000000000004,0.00051317131830030949,0
classic,1.3359375,1.359375,0.00040000000000000002,0.00046605116202069752,0
classic,1.359375,1.3828125,0.00020000000000000001,0.00042263143327070374,0
classic,1.3828125,1.40625,0.00029999999999999997,0.00038268465086288561,0
classic,1.40625,1.4296875,0.00025000000000000001,0.00034599176328065084,0
classic,1.4296875,1.453125,0.00025000000000000001,0.0003123422268632714,0
classic,1.453125,1.4765625,0.0001,0.00028153406873698827,0
classic,1.4765625,1.5,0.00020000000000000001,0.00025337393023616706,0
classic,1.5,1.5,0.60834999999999995,0.61025006843016572,1
conditional29,0,0.0234375,0,1.2747324901418722e-05,0
conditional29,0.0234375,0.046875,0.01745,0.016399906767096462,0
conditional29,0.046875,0.0703125,0.055649999999999998,0.056352695602293057,0
conditional29,0.0703125,0.09375,0.058900000000000001,0.057180248882446771,0
conditional29,0.09375,0.1171875,0.04385,0.044136831887358841,0
conditional29,0.1171875,0.140625,0.031899999999999998,0.032312632277171072,0
conditional29,0.140625,0.1640625,0.02495,0.024163188826106352,0
conditional29,0.1640625,0.1875,0.020500000000000001,0.018970954181930177,0
conditional29,0.1875,0.2109375,0.01555,0.015649595441455499,0
conditional29,0.2109375,0.234375,0.01375,0.013447495298101297,0
conditional29,0.234375,0.2578125,0.01155,0.01192115172143815,0
conditional29,0.2578125,0.28125,0.0112,0.010814104795222823,0
conditional29,0.28125,0.3046875,0.0112,0.0099744564876447228,0
conditional29,0.3046875,0.328125,0.0094500000000000001,0.0093088924921324034,0
conditional29,0.328125,0.3515625,0.0086499999999999997,0.0087579734531005871,0
conditional29,0.3515625,0.375,0.0086999999999999994,0.0082827295792989863,0
conditional29,0.375,0.3984375,0.0067000000000000002,0.0078572000839202127,0
conditional29,0.3984375,0.421875,0.0083499999999999998,0.007464129851822654,0
conditional29,0.421875,0.4453125,0.00645,0.007092354483643315,0
conditional29,0.4453125,0.46875,0.0066,0.0067350845482468946,0
conditional29,0.46875,0.4921875,0.0061000000000000004,0.0063886670675540325,0
conditional29,0.4921875,0.515625,0.0054000000000000003,0.0060516130939500812,0
conditional29,0.515625,0.5390625,0.0063,0.0057238041317955179,0
conditional29,0.5390625,0.5625,0.0051000000000000004,0.0054058566106810479,0
conditional29,0.5625,0.5859375,0.0056499999999999996,0.0050986480058393679,0
conditional29,0.5859375,0.609375,0.0053,0.0048030044000350047,0
conditional29,0.609375,0.6328125,0.0042500000000000003,0.0045195326193827601,0
conditional29,0.6328125,0.65625,0.0038999999999999998,0.0042485642741675322,0
conditional29,0.65625,0.6796875,0.0037499999999999999,0.0039901721453552419,0
conditional29,0.6796875,0.703125,0.0037499999999999999,0.003744222517146234,0
conditional29,0.703125,0.7265625,0.0033500000000000001,0.0035104366502544115,0
conditional29,0.7265625,0.75,0.0030999999999999999,0.0032884457621560337,0
conditional29,0.75,0.7734375,0.0030500000000000002,0.0030778331152435667,0
conditional29,0.7734375,0.796875,0.0030000000000000001,0.0028781627335238147,0
conditional29,0.796875,0.8203125,0.0028,0.0026889971217902708,0
conditional29,0.8203125,0.84375,0.002,0.0025099071190679556,0
conditional29,0.84375,0.8671875,0.0027499999999999998,0.0023404766819320466,0
conditional29,0.8671875,0.890625,0.0024499999999999999,0.0021803046776299739,0
conditional29,0.890625,0.9140625,0.0018,0.0020290050611979638,0
conditional29,0.9140625,0.9375,0.0014,0.0018862062658800971,0
conditional29,0.9375,0.9609375,0.0023500000000000001,0.0017515502706080266,0
conditional29,0.9609375,0.984375,0.0015499999999999999,0.0016246915863095124,0
conditional29,0.984375,1.0078125,0.0013500000000000001,0.0015052962781890722,0
conditional29,1.0078125,1.03125,0.0019499999999999999,0.0013930410756308742,0
conditional29,1.03125,1.0546875,0.0015499999999999999,0.0012876125888439116,0
conditional29,1.0546875,1.078125,0.0014,0.0011887066359692611,0
conditional29,1.078125,1.1015625,0.00125,0.0010960276773452904,0
conditional29,1.1015625,1.125,0.00075000000000000002,0.0010092883504798644,0
conditional29,1.125,1.1484375,0.00040000000000000002,0.00092820909787594275,0
conditional29,1.1484375,1.171875,0.0010499999999999999,0.00085251787918605437,0
conditional29,1.171875,1.1953125,0.00089999999999999998,0.00078194995886582408,0
conditional29,1.1953125,1.21875,0.0011000000000000001,0.00071624776035428273,0
conditional29,1.21875,1.2421875,0.00080000000000000004,0.0006551607777977031,0
conditional29,1.2421875,1.265625,0.00075000000000000002,0.00059844553640975295,0
conditional29,1.265625,1.2890625,0.00040000000000000002,0.00054586559275437985,0
conditional29,1.2890625,1.3125,0.00040000000000000002,0.00049719156649685736,0
conditional29,1.3125,1.3359375,0.00029999999999999997,0.00045220119554256755,0
conditional29,1.3359375,1.359375,0.00044999999999999999,0.00041067940692340876,0
conditional29,1.359375,1.3828125,0.00029999999999999997,0.00037241839632007334,0
conditional29,1.3828125,1.40625,0.00025000000000000001,0.00033721770969019627,0
conditional29,1.40625,1.4296875,0.00040000000000000002,0.00030488432113007224,0
conditional29,1.4296875,1.453125,0.00014999999999999999,0.00027523270176865733,0
conditional29,1.453125,1.4765625,0.00025000000000000001,0.00024808487522343103,0
conditional29,1.4765625,1.5,0.00020000000000000001,0.0002232704558617904,0
conditional29,1.5,1.5,0.53320000000000001,0.53774597426450854,1
midpoint,0,0.0234375,0,1.2747324903639168e-05,0
midpoint,0.0234375,0.046875,0.015900000000000001,0.016399906767097461,0
midpoint,0.046875,0.0703125,0.05425,0.056352695602293612,0
midpoint,0.0703125,0.09375,0.059799999999999999,0.057180248882446549,0
midpoint,0.09375,0.1171875,0.042950000000000002,0.04413683196108098,0
midpoint,0.1171875,0.140625,0.033399999999999999,0.032312749540294061,0
midpoint,0.140625,0.1640625,0.028250000000000001,0.024167269676050984,0
midpoint,0.1640625,0.1875,0.017649999999999999,0.018998929340856785,0
midpoint,0.1875,0.2109375,0.0154,0.015736103078479613,0
midpoint,0.2109375,0.234375,0.015599999999999999,0.013624537872375497,0
