mode,environment,width,height,spp,seconds,paths,real_collisions,escaped_paths,roulette_terminations,safety_cap_terminations,numerical_failures,mean_path_depth
classic,unit_white,64,64,8,5.8834175999999996,32768,18251,31978,790,0,0,0.556976318359375
classic,directional_gradient,64,64,8,6.1064413000000002,32768,18251,31978,790,0,0,0.556976318359375
