mode,environment,width,height,spp,seconds,paths,real_collisions,escaped_paths,roulette_terminations,safety_cap_terminations,numerical_failures,mean_path_depth
classic,unit_white,512,512,4,209.3364886,1048576,276849,1048576,0,0,0,0.26402378082275391
classic,directional_gradient,512,512,4,223.07474970000001,1048576,276849,1048576,0,0,0,0.26402378082275391
