mode,bin_left,bin_right,observed_mass,expected_mass,escape_bin
classic,0,0.050000000000000003,0.050000000000000003,0.046853995171076801,0
classic,0.050000000000000003,0.10000000000000001,0.045999999999999999,0.041621731819394325,0
classic,0.10000000000000001,0.15000000000000002,0.029000000000000001,0.036985751180236948,0
classic,0.15000000000000002,0.20000000000000001,0.033000000000000002,0.032868019305933416,0
classic,0.20000000000000001,0.25,0.028000000000000001,0.029202282500527699,0
classic,0.25,0.30000000000000004,0.032500000000000001,0.025932189410016515,0
classic,0.30000000000000004,0.35000000000000003,0.028000000000000001,0.02300972763824094,0
classic,0.35000000000000003,0.40000000000000002,0.028500000000000001,0.020393916863848616,0
classic,0.40000000000000002,0.45000000000000001,0.02,0.018049711596799689,0
classic,0.45000000000000001,0.5,0.0195,0.015947075752945183,0
classic,0.5,0.55000000000000004,0.012999999999999999,0.0140601985891603,0
classic,0.55000000000000004,0.60000000000000009,0.012500000000000001,0.012366827572148575,0
classic,0.60000000000000009,0.65000000000000002,0.016500000000000001,0.010847698710242715,0
classic,0.65000000000000002,0.70000000000000007,0.0054999999999999997,0.0094860489511088275,0
classic,0.70000000000000007,0.75,0.0070000000000000001,0.0082671985778653978,0
classic,0.75,0.80000000000000004,0.012500000000000001,0.0071781942201736282,0
classic,0.80000000000000004,0.80000000000000004,0.61850000000000005,0.64692943214028042,1
conditional29,0,0.050000000000000003,0.025499999999999998,0.022435896278198642,0
conditional29,0.050000000000000003,0.10000000000000001,0.1255,0.12061153437274152,0
conditional29,0.10000000000000001,0.15000000000000002,0.074499999999999997,0.073798586571396374,0
conditional29,0.15000000000000002,0.20000000000000001,0.040000000000000001,0.041358529685123435,0
conditional29,0.20000000000000001,0.25,0.033000000000000002,0.028509020184185441,0
conditional29,0.25,0.30000000000000004,0.028500000000000001,0.022685346801269213,0
conditional29,0.30000000000000004,0.35000000000000003,0.021000000000000001,0.019435557271551329,0
conditional29,0.35000000000000003,0.40000000000000002,0.017500000000000002,0.017217887423613187,0
conditional29,0.40000000000000002,0.45000000000000001,0.019,0.015422145788554387,0
conditional29,0.45000000000000001,0.5,0.01,0.013802741947820829,0
conditional29,0.5,0.55000000000000004,0.0155,0.012282879507321876,0
conditional29,0.55000000000000004,0.60000000000000009,0.0089999999999999993,0.010859348373885136,0
conditional29,0.60000000000000009,0.65000000000000002,0.0064999999999999997,0.0095474227692055047,0
conditional29,0.65000000000000002,0.70000000000000007,0.010500000000000001,0.0083561018707892787,0
conditional29,0.70000000000000007,0.75,0.0064999999999999997,0.0072843424186774808,0
conditional29,0.75,0.80000000000000004,0.0070000000000000001,0.0063252341242704402,0
conditional29,0.80000000000000004,0.80000000000000004,0.55049999999999999,0.57006742461139592,1
midpoint,0,0.050000000000000003,0.023,0.022435896278623302,0
midpoint,0.050000000000000003,0.10000000000000001,0.115,0.12061153437272598,0
midpoint,0.10000000000000001,0.15000000000000002,0.080000000000000002,0.0737992330356535,0
midpoint,0.15000000000000002,0.20000000000000001,0.048500000000000001,0.041426644856852768,0
midpoint,0.20000000000000001,0.25,0.030499999999999999,0.028914853220378012,0
midpoint,0.25,0.30000000000000004,0.0275,0.023610522193100669,0
midpoint,0.30000000000000004,0.35000000000000003,0.017500000000000002,0.020855229544409326,0
midpoint,0.35000000000000003,0.40000000000000002,0.016,0.019000157364663872,0
midpoint,0.40000000000000002,0.45000000000000001,0.014,0.017389562287794313,0
midpoint,0.45000000000000001,0.5,0.014,0.015763197801689444,0
midpoint,0.5,0.55000000000000004,0.018499999999999999,0.01406735679932658,0
midpoint,0.55000000000000004,0.60000000000000009,0.010500000000000001,0.012357165046585794,0
midpoint,0.60000000000000009,0.65000000000000002,0.01,0.010718063692988555,0
midpoint,0.65000000000000002,0.70000000000000007,0.0080000000000000002,0.0092154370423834786,0
midpoint,0.70000000000000007,0.75,0.0064999999999999997,0.0078797910113617142,0
midpoint,0.75,0.80000000000000004,0.0064999999999999997,0.0067141349839764386,0
midpoint,0.80000000000000004,0.80000000000000004,0.55400000000000005,0.55524122046748625,1
