mode,t,h,log_h,H,T_model,p_model,log_screen_probability,log_crossing_flux,integration_error,numeric_status,elapsed_microseconds
classic,0,0.99382237925139683,-0.0061967811990819577,0,1,0.99382237925139683,,,0,ok,18
classic,0.050000000000000003,0.92601384620004024,-0.076866091747920695,0.0479871815758941,0.9531460048289232,0.88262639792183328,,,3.5137777363938554e-16,ok,6
classic,0.10000000000000001,0.86034552021185062,-0.15042120273341197,0.092637055476318231,0.91152427300952887,0.7842258248481121,,,3.2766477638136941e-16,ok,2
classic,0.15000000000000002,0.79690921824749716,-0.22701451101138614,0.13405893537439934,0.87453852182929193,0.69692780975830271,,,3.0472849948694922e-16,ok,2
classic,0.20000000000000001,0.73579426264769177,-0.30680473377636752,0.17236666849767646,0.84167050252335851,0.61929632679648672,,,2.7219281494181128e-16,ok,2
classic,0.25,0.67708619798826764,-0.38995669070616934,0.20767847936126427,0.81246822002283081,0.55011101808155383,,,2.5090550695656904e-16,ok,2
classic,0.30000000000000004,0.62086538475277719,-0.47664099228170498,0.24011674620086193,0.7865360306128143,0.48833299526834711,,,2.3048774863523852e-16,ok,2
classic,0.35000000000000003,0.56720548907369495,-0.56703362631863596,0.26980770439351132,0.76352630297457336,0.43307631009932307,,,2.1096694661543874e-16,ok,2
classic,0.40000000000000002,0.5161718964171359,-0.66131543638556711,0.29688107232899147,0.74313238611072474,0.38358405302776405,,,1.9236784919115843e-16,ok,2
classic,0.45000000000000001,0.46782008626046467,-0.75967148804443974,0.32146959681651283,0.72508267451392505,0.33920823933707284,,,1.7471197457667636e-16,ok,2
classic,0.5,0.42219401401239964,-0.86229032175369524,0.34370851719505707,0.70913559876097987,0.29939280491998455,,,1.6322120368914907e-16,ok,4
classic,0.55000000000000004,0.37932455496420237,-0.96936309480238481,0.36373494984604476,0.69507540017181957,0.26365916683674034,,,1.5270470328934291e-16,ok,2
classic,0.60000000000000009,0.33922807211372596,-1.0810826187195506,0.3816871977308206,0.68270857259967099,0.23159391289850012,,,1.3276256367885137e-16,ok,2
classic,0.65000000000000002,0.30190517436170805,-1.197642303092908,0.39770399279589386,0.67186087388942828,0.2028382742783974,,,1.1380617383646038e-16,ok,2
classic,0.70000000000000007,0.26733973292848257,-1.3192350214350352,0.41192368246315875,0.66237482493831945,0.17707910879756072,,,1.0363905719234534e-16,ok,2
classic,0.75,0.23549822107069496,-1.4460519193941315,0.42448337476409809,0.65410762636045405,0.15404118239666176,,,8.9241981278145088e-17,ok,2
classic,0.80000000000000004,0.2063294347130944,-1.5782811899110682,0.43551805976468971,0.64692943214028042,0.13348058403276722,,,7.8406152685713182e-17,ok,2
conditional29,0,0,-inf,0,1,0,0,-inf,0,exact_zero,0
conditional29,0.050000000000000003,2.0990758525819735,0.74149717767100942,0.022691410017801842,0.97756410372180136,2.051981204473373,-0.022691410016613692,0.71880576765439574,1.3090543623108172e-08,ok,69
conditional29,0.10000000000000001,2.3530380662678776,0.85570728737377089,0.15437270689954155,0.85695256934905983,2.016442016664401,-0.15437155262618182,0.70133573474758903,3.239506776834267e-10,ok,23
conditional29,0.15000000000000002,1.3454951755195728,0.2967621055370519,0.24442594488313654,0.78315398277766346,1.0537299055162848,-0.2431216145922443,0.053640490944807606,1.7435507562512666e-13,ok,22
conditional29,0.20000000000000001,0.89250286479718988,-0.11372555547669916,0.29868174350523286,0.74179545309254002,0.66205456697862142,-0.2872051066982666,-0.40093066217496576,4.0632731754965567e-16,ok,22
conditional29,0.25,0.69967032752580449,-0.35714601555296693,0.3378722100551772,0.71328643290835458,0.4990653521327012,-0.30341629361268335,-0.66056230916565029,2.7846501318112151e-16,ok,22
conditional29,0.30000000000000004,0.60258707979311277,-0.50652309328394285,0.37019292132680792,0.69060108610708537,0.41614729177922061,-0.30148481589840553,-0.80800790918234844,2.4006080694242873e-16,ok,20
conditional29,0.35000000000000003,0.54301874877508594,-0.61061143151337038,0.39873948266357589,0.67116552883553404,0.36445546568924053,-0.28733857122945183,-0.89795000274282222,2.0283551788770633e-16,ok,21
conditional29,0.40000000000000002,0.49783511022925431,-0.69748636074182269,0.42472798973301051,0.65394764141192085,0.32555809614646447,-0.2653639928996388,-0.96285035364146143,1.8465944911436773e-16,ok,21
conditional29,0.45000000000000001,0.45708869882588821,-0.78287781758628294,0.44859367380812792,0.63852549562336647,0.29186278796163995,-0.23923158918439238,-1.0221094067706753,1.7998422539106251e-16,ok,21
conditional29,0.5,0.41707426353282767,-0.87449098303269734,0.47044732178183962,0.62472275367554564,0.26055578240142829,-0.2119011405997758,-1.0863921236324732,1.5527950817579265e-16,ok,21
conditional29,0.55000000000000004,0.37730373720871374,-0.97470474692253994,0.49030450600502512,0.61243987416822376,0.23107585333930522,-0.18540714217715579,-1.1601118890996958,1.4629795045227548e-16,ok,22
conditional29,0.60000000000000009,0.33856354268827321,-1.0830434858175395,0.50819487755805104,0.60158052579433863,0.2036732340252054,-0.16085257667208688,-1.2438960624896265,1.2711873547051699e-16,ok,20
conditional29,0.65000000000000002,0.30172191255133146,-1.1982495051883091,0.52419272838925945,0.59203310302513312,0.17862936013844263,-0.13865743319213747,-1.3369069383804466,1.1887573738681877e-16,ok,20
conditional29,0.70000000000000007,0.26729705230398815,-1.3193946835673986,0.53840752937435565,0.58367700115434384,0.15601514190618759,-0.1188660648449285,-1.4382607484123271,1.0360432101632163e-16,ok,21
conditional29,0.75,0.23548977184348269,-1.4460877981313405,0.55096615134373172,0.57639265873566636,0.13573457569792044,-0.10136311394906246,-1.547450912080403,9.4438546542904229e-17,ok,21
conditional29,0.80000000000000004,0.20632800521808864,-1.5782881181516253,0.562000636357186,0.57006742461139592,0.11762087455988245,-0.085980619153130988,-1.6642687373047562,8.3608902119566866e-17,ok,21
midpoint,0,0,-inf,0,1,0,0,-inf,0,exact_zero,1
midpoint,0.050000000000000003,2.0990758525821955,0.74149717767111523,0.022691410018236245,0.9775641037213767,2.0519812044726988,-0.022691410016719482,0.71880576765439574,1.3090890623165441e-08,ok,1549
midpoint,0.10000000000000001,2.3530380662709063,0.85570728737505797,0.15437270690001886,0.85695256934865072,2.016442016666034,-0.15437155262746916,0.70133573474758881,3.2397611566847843e-10,ok,474
midpoint,0.15000000000000002,1.3456274882855859,0.29686043830196018,0.2444267703465158,0.78315333631299722,1.0538326568853351,-0.24321994734598285,0.053640490955977338,4.1107501853662834e-14,ok,462
midpoint,0.20000000000000001,0.89763094784349939,-0.10799626637280157,0.29877444402432862,0.74172669145614445,0.66579683309260174,-0.29293448123064758,-0.40093074760344916,5.5269690106607634e-16,ok,389
midpoint,0.25,0.71852242443871184,-0.33055836387532611,0.33853779488858127,0.71281183823576644,0.51217129017777774,-0.33015580588728877,-0.66071416976261488,4.4906905475452147e-16,ok,362
midpoint,0.30000000000000004,0.63830486252517449,-0.44893926881842805,0.37222186480803571,0.68920131604266577,0.4399205512887831,-0.36144583192482449,-0.81038510074325254,2.497480527768974e-16,ok,378
midpoint,0.35000000000000003,0.5940217958717402,-0.52083926690590998,0.40294914604935811,0.66834608649825644,0.39701214256554368,-0.38656223646189891,-0.90740150336780889,2.1833046475679209e-16,ok,354
midpoint,0.40000000000000002,0.56009040209648187,-0.57965707596658989,0.43178968558622544,0.64934592913359257,0.36369242254814749,-0.40511870304794872,-0.98477577901453861,2.1315323660781375e-10,ok,343
midpoint,0.45000000000000001,0.52499087041976034,-0.64437440621836239,0.45893492701958843,0.63195636684579826,0.33177132309768498,-0.4169409962685201,-1.0613154024868825,1.9287854110930171e-16,ok,329
midpoint,0.5,0.48440827017977545,-0.72482719441059518,0.48419477849589887,0.61619316904410881,0.29848906711325068,-0.42197749410278262,-1.1468046885133778,1.8989038058457499e-16,ok,342
midpoint,0.55000000000000004,0.43869357585650981,-0.82395411450845724,0.50728886506893811,0.60212581224478223,0.26414872568916897,-0.42040123248156402,-1.2443553469900213,1.6929752496280956e-16,ok,324
midpoint,0.60000000000000009,0.39063359194412361,-0.93998526335640942,0.52802494237574049,0.58976864719819644,0.23038344507105807,-0.41273693377174325,-1.3527221971281527,1.5254286141301311e-16,ok,316
midpoint,0.65000000000000002,0.34333219681632671,-1.0690567966757527,0.54636544165826306,0.57905058350520788,0.19880670890261887,-0.39986832552620333,-1.4689251222019561,1.355212557820275e-16,ok,334
midpoint,0.70000000000000007,0.29899295383784674,-1.2073352716288375,0.56240817671665289,0.5698351464628244,0.1703766936415419,-0.38291386658427795,-1.5902491382131154,1.1919465900255805e-16,ok,335
midpoint,0.75,0.25871512218828391,-1.3520277369632465,0.57633287094233154,0.56195535545146269,0.14538634844998569,-0.36305242425219986,-1.7150801612154465,1.0154298851133099e-16,ok,316
midpoint,0.80000000000000004,0.22279964759875587,-1.5014823526234553,0.58835262818765399,0.55524122046748625,0.12370754825245905,-0.34138128046151484,-1.8428636330849701,8.5405511962636985e-17,ok,311
