grid_intervals,age,survival,standard_error,first_hit_mass,average_hazard
16,0.050000000000000003,0.9765625,0.0066860663757954851,0.0234375,0.47433053234632083
16,0.10000000000000001,0.8515625,0.015712493075882898,0.125,2.7393171014631483
16,0.15000000000000002,0.771484375,0.018556092861559913,0.080078125,1.9751295689582495
16,0.20000000000000001,0.734375,0.019519039151666685,0.037109375,0.98593243022454802
16,0.25,0.69921875,0.020267348358125305,0.03515625,0.9811231397838841
16,0.30000000000000004,0.673828125,0.020718716202790324,0.025390625,0.73977138738681003
16,0.35000000000000003,0.65234375,0.021046422918118781,0.021484375,0.64806848109318627
16,0.40000000000000002,0.6328125,0.021303280623411601,0.01953125,0.60794954368742105
16,0.45000000000000001,0.623046875,0.021417513758856543,0.009765625,0.3110482601496955
16,0.5,0.611328125,0.021542384121554292,0.01171875,0.37975824489382692
16,0.55000000000000004,0.587890625,0.021753018739734245,0.0234375,0.78185851582555022
16,0.60000000000000009,0.58203125,0.021797670192638164,0.005859375,0.20033556486942444
16,0.65000000000000002,0.568359375,0.021889593161335097,0.013671875,0.47540438667823981
16,0.70000000000000007,0.560546875,0.021934476106038096,0.0078125,0.27682102823742682
16,0.75,0.5546875,0.021964516721567351,0.005859375,0.21015955196830216
16,0.80000000000000004,0.54296875,0.022015339402132524,0.01171875,0.42706248941137853
32,0.025000000000000001,1,0,0,-0
32,0.050000000000000003,0.9765625,0.0066860663757954851,0.0234375,0.94866106469264166
32,0.075000000000000011,0.91796875,0.012127425983417766,0.05859375,2.4750161487235003
32,0.10000000000000001,0.84765625,0.01588134296484606,0.0703125,3.1875264241479768
32,0.125,0.80859375,0.017386343950882645,0.0390625,1.8871424110036203
32,0.15000000000000002,0.78125,0.018269811458857137,0.02734375,1.3760570686932962
32,0.17500000000000002,0.755859375,0.018984779071039782,0.025390625,1.3215941631280066
32,0.20000000000000001,0.732421875,0.019564600127959724,0.0234375,1.2599466823748424
32,0.22500000000000001,0.72265625,0.01978518396584621,0.009765625,0.53692081328562657
32,0.25,0.716796875,0.019911871998014186,0.005859375,0.32564630334799549
32,0.27500000000000002,0.71484375,0.019953175806803829,0.001953125,0.10914058612816241
32,0.30000000000000004,0.703125,0.02019147766419466,0.01171875,0.66117207804842271
32,0.32500000000000001,0.6875,0.020484547815823272,0.015625,0.89891423408234639
32,0.35000000000000003,0.681640625,0.02058740339181233,0.005859375,0.34237013582679759
32,0.375,0.666015625,0.020843483518529847,0.015625,0.92757779675641427
32,0.40000000000000002,0.65625,0.02099041529316863,0.009765625,0.59085269281250119
32,0.42500000000000004,0.650390625,0.021073840600157309,0.005859375,0.3587467993104147
32,0.45000000000000001,0.642578125,0.021179638948740202,0.0078125,0.48338956860287607
32,0.47500000000000003,0.630859375,0.021326874916414943,0.01171875,0.73621710170861132
32,0.5,0.626953125,0.021372939596087312,0.00390625,0.24844800370562575
32,0.52500000000000002,0.625,0.021395412402545552,0.001953125,0.12480509344974525
32,0.55000000000000004,0.623046875,0.021417513758856543,0.001953125,0.12519572035710808
32,0.57500000000000007,0.615234375,0.021502227301889172,0.0078125,0.50473855836845805
32,0.60000000000000009,0.607421875,0.021581085322436994,0.0078125,0.51118906585595481
32,0.625,0.6015625,0.021636424844828639,0.005859375,0.38772516822638858
32,0.65000000000000002,0.59375,0.021705186299700068,0.0078125,0.52288326269411056
32,0.67500000000000004,0.587890625,0.021753018739734245,0.005859375,0.39669746629383629
32,0.70000000000000007,0.578125,0.021825680311159189,0.009765625,0.67003241699261362
32,0.72500000000000009,0.568359375,0.021889593161335097,0.009765625,0.68144748610271344
32,0.75,0.56640625,0.021901332809442352,0.001953125,0.13769376763891208
32,0.77500000000000002,0.56640625,0.021901332809442352,0,-0
32,0.80000000000000004,0.564453125,0.021912726159242488,0.001953125,0.13816939472350218
