age,checkpoint_count,U_N,U_standard_error,J_N,J_standard_error,h_N,h_standard_error,status
0.20000000000000001,0,0.73046875,0.013866134388654118,0.65989735074375455,0.022931515503650083,0.90338888657968541,0.035771315009932955,ok
0.20000000000000001,1,0.7607421875,0.013332200492725765,0.66006161737864888,0.022844899873057215,0.86765480898040626,0.033660133411198188,ok
0.20000000000000001,4,0.759765625,0.013350803905027861,0.71991464053514642,0.024152229803418974,0.94754831864780198,0.035885727327016587,ok
0.20000000000000001,8,0.7490234375,0.013549220441989588,0.64849907514842364,0.023391534174120081,0.8657927678643883,0.034936455326321315,ok
0.40000000000000002,0,0.7548828125,0.013442395615909352,0.36875414179755883,0.019606456596074583,0.48849190323505853,0.027390806327174395,ok
0.40000000000000002,1,0.6572265625,0.01483239065502902,0.3617353837651337,0.020464730360057033,0.55039678005274428,0.033524142361384776,ok
0.40000000000000002,4,0.64453125,0.014957972299934993,0.40240879960066001,0.02244814683653806,0.62434334968344829,0.03772238918150999,ok
0.40000000000000002,8,0.6416015625,0.0149853117374551,0.38039159027024094,0.02234537672152271,0.59287821679867081,0.037479367151490167,ok
0.60000000000000009,0,0.87109375,0.010471754639291588,0.31231667643604666,0.018013109367128285,0.35853394245573067,0.021123126540137229,ok
0.60000000000000009,1,0.646484375,0.014939406516697768,0.28028108939859592,0.017740215384099711,0.43354657937184626,0.029212769298067032,ok
0.60000000000000009,4,0.6103515625,0.015239703640318436,0.24570691068338088,0.016047639852041086,0.40256620246365121,0.028148305292552002,ok
0.60000000000000009,8,0.5634765625,0.015498573712514632,0.24953041062594389,0.016562508125235846,0.44284079806060062,0.031817245696777477,ok
0.80000000000000004,0,0.90234375,0.0092765406210758451,0.18640953321363651,0.010565146687398504,0.20658372511987425,0.011899615580843622,ok
0.80000000000000004,1,0.7109375,0.014166468824613289,0.15046940817045143,0.010076608624689848,0.21164927742656905,0.014787838427765994,ok
0.80000000000000004,4,0.5673828125,0.015482460987267356,0.13020885055223794,0.01010269641863339,0.22949029770308374,0.018874886767434484,ok
0.80000000000000004,8,0.5576171875,0.015520911413888153,0.14477823171891166,0.01015387567520502,0.259637319229712,0.019591056271721252,ok
