mode,environment,width,height,spp,seconds,paths,real_collisions,escaped_paths,roulette_terminations,safety_cap_terminations,numerical_failures,mean_path_depth
classic,unit_white,512,512,4,18.012554900000001,1048576,317665,1048576,0,0,0,0.30294895172119141
classic,directional_gradient,512,512,4,19.800147500000001,1048576,317665,1048576,0,0,0,0.30294895172119141
