mode,environment,width,height,spp,seconds,paths,real_collisions,escaped_paths,roulette_terminations,safety_cap_terminations,numerical_failures,mean_path_depth
classic,unit_white,64,64,8,0.74385210000000002,32768,36408,32319,449,0,0,1.111083984375
classic,directional_gradient,64,64,8,0.7767927,32768,36408,32319,449,0,0,1.111083984375
